主力净流入,主力流入,主力流出,超大买单成交量,超大买单成交额,超大卖单成交量,超大卖单成交额,大买单成交量,大买单成交额,大卖单成交量,大卖单成交额,中买单成交量,中买单成交额,中卖单成交量,中卖单成交额,小买单成交量,小买单成交额,小卖单成交量,小卖单成交额,	时间区间
-2.931893816E7,7595377.63,3.691431579E7,0.0,0.0,1760063.0,1.640066279E7,813100.0,7595377.63,2207200.0,2.0513653E7,655500.0,6111914.0,3419797.0,3.1824155799999997E7,728003.0,6789832.2,1431937.0,1.335220721E7	,20190102093000000 to 20190102095000000
3519979.719999995,2.1347946519999996E7,1.78279668E7,735000.0,6815220.0,348000.0,3221788.0,1567819.0,1.453272652E7,1578040.0,1.46061788E7,1534900.0,1.4222001E7,1485000.0,1.37384144E7,670100.0,6208446.0,660510.0,6115087.88	,20190102095000000 to 20190102101000000
-8715520.330000002,4216278.03,1.2931798360000001E7,184500.0,1706625.0,900100.0,8316045.390000001,271661.0,2509653.0300000003,498939.0,4615752.97,535950.0,4960349.5,515600.0,4768171.0,394200.0,3648705.0,461158.0,4265036.6	,20190102101000000 to 20190102103000000
-5028422.39,1718582.0,6747004.39,0.0,0.0,336000.0,3106185.0,185900.0,1718582.0,394400.0,3640819.39,316861.0,2927342.03,880339.0,8128984.970000001,324200.0,2995999.0,546800.0,5050376.0	,20190102103000000 to 20190102105000000
-2428363.0,3588316.0,6016679.0,0.0,0.0,170000.0,1567400.0,388400.0,3588316.0,481900.0,4449279.0,227000.0,2098173.0,1100600.0,1.0158642E7,341300.0,3153595.0,478989.0,4422062.47	,20190102105000000 to 20190102111000000
-1926008.0,1798279.0,3724287.0,114900.0,1060527.0,271000.0,2499987.0,79800.0,737752.0,132500.0,1224300.0,179500.0,1659164.0,576783.0,5324877.89,282820.0,2613903.8,212743.0,1964274.8900000001	,20190102111000000 to 20190102113000000
-1.570804076E7,816855.0,1.652489576E7,0.0,0.0,1449812.0,1.336383716E7,88500.0,816855.0,343100.0,3161058.6,247140.0,2280426.4,743572.0,6853064.08,343588.0,3170187.9200000004,572528.0,5276505.84	,20190102130000000 to 20190102132000000
-9563115.86,4781943.18,1.434505904E7,150258.0,1383876.1800000002,902000.0,8301769.42,368500.0,3398067.0,656122.0,6043289.62,450200.0,4148751.0,724912.0,6676725.75,488021.0,4496716.409999999,429187.0,3952530.62	,20190102132000000 to 20190102134000000
-1.566097E7,2470184.0,1.8131154E7,172800.0,1591488.0,1258000.0,1.1574213E7,95200.0,878696.0,712100.0,6556941.0,336500.0,3104234.0,774900.0,7137924.04,302340.0,2788201.0,563260.0,5190261.5600000005	,20190102134000000 to 20190102140000000
-1554112.5600000005,5288343.0,6842455.5600000005,119900.0,1099483.0,296040.0,2717647.2,455800.0,4188860.0,449396.0,4124808.3600000003,509900.0,4691264.0,920200.0,8451307.6,627400.0,5772102.0,493520.0,4534638.6	,20190102140000000 to 20190102142000000
89065.0,1561364.0,1472299.0,0.0,0.0,0.0,0.0,169200.0,1561364.0,159800.0,1472299.0,441900.0,4077137.0,333500.0,3074687.0,277900.0,2564120.0,304791.0,2810042.51	,20190102142000000 to 20190102144000000
-9036025.78,4878420.6,1.3914446379999999E7,0.0,0.0,857900.0,7891101.0,529780.0,4878420.6,655093.0,6023345.38,436040.0,4013130.29,832486.0,7657544.920000001,520665.0,4789683.44,605569.0,5570553.0	,20190102144000000 to 20190102150000000
