1	-5581340.0,3067448.0,8648788.0,0.0,0.0,521600.0,4886715.0,327000.0,3067448.0,401600.0,3762073.0,274500.0,2574730.0,1106897.0,1.03686878E7,297403.0,2788485.2,666100.0,6239102.0
2	-2.389890216E7,4527929.63,2.842683179E7,0.0,0.0,1254063.0,1.165840379E7,486100.0,4527929.63,1807400.0,1.6768428E7,365400.0,3392728.0,2312900.0,2.1455468E7,426700.0,3964843.0,767937.0,7132761.21
3	-6643798.280000001,8479403.52,1.51232018E7,0.0,0.0,348000.0,3221788.0,915519.0,8479403.52,1286240.0,1.19014138E7,1115500.0,1.0333005E7,1038900.0,9605011.4,397500.0,3680779.0,334862.0,3097221.92
4	9496853.0,1.2542943E7,3046090.0,735000.0,6815220.0,0.0,0.0,617100.0,5727723.0,328700.0,3046090.0,411200.0,3813064.0,454300.0,4209335.0,272600.0,2527667.0,323948.0,3002140.96
5	-9003510.329999998,2509653.0300000003,1.151316336E7,0.0,0.0,900100.0,8316045.39,271661.0,2509653.0300000003,345639.0,3197117.9699999997,283600.0,2623505.0,393300.0,3636760.0,220800.0,2043155.0,231380.0,2139586.6
6	287990.0,1706625.0,1418635.0,184500.0,1706625.0,0.0,0.0,0.0,0.0,153300.0,1418635.0,252350.0,2336844.5,128300.0,1186851.0,171400.0,1587070.0,225778.0,2088490.0
7	-5184610.390000001,801050.0,5985660.390000001,0.0,0.0,336000.0,3106185.0,86600.0,801050.0,311900.0,2879475.39,138261.0,1277567.03,547539.0,5056235.97,141700.0,1309821.0,353400.0,3264646.0
8	156188.0,917532.0,761344.0,0.0,0.0,0.0,0.0,99300.0,917532.0,82500.0,761344.0,178600.0,1649775.0,332800.0,3072749.0,182500.0,1686178.0,193400.0,1785730.0
9	894475.0,3126816.0,2232341.0,0.0,0.0,0.0,0.0,338400.0,3126816.0,241800.0,2232341.0,130300.0,1204687.0,625800.0,5778919.0,184600.0,1706631.0,241589.0,2231358.4699999997
10	-3322838.0,461500.0,3784338.0,0.0,0.0,170000.0,1567400.0,50000.0,461500.0,240100.0,2216938.0,96700.0,893486.0,474800.0,4379723.0,156700.0,1446964.0,237400.0,2190704.0
11	-2039136.0,1060527.0,3099663.0,114900.0,1060527.0,271000.0,2499987.0,0.0,0.0,64900.0,599676.0,75700.0,699252.0,318500.0,2939063.0,157000.0,1450440.0,113700.0,1049322.0
12	113128.0,737752.0,624624.0,0.0,0.0,0.0,0.0,79800.0,737752.0,67600.0,624624.0,103800.0,959912.0,258283.0,2385814.89,125820.0,1163463.8,99043.0,914952.89
